model_name,model_version
gpt2,0.0
gpt2,0.1
gpt2,0.2
gpt2,0.3
gpt2,0.4
gpt2,0.5
gpt2,0.6
gpt2,0.7
gpt2,0.8
gpt2,0.9
gpt2,1.0
gpt2,1.1
gpt2,1.2
gpt2,1.3
gpt2,1.4
gpt2,1.5
gpt2,1.6
gpt2,1.7
gpt2,1.8
gpt2,1.9
gpt2,2.0
gpt2,2.1
gpt2,2.2
gpt2,2.3
gpt2,2.4
gpt2,2.5
gpt2,2.6
gpt2,2.7
gpt2,2.8
gpt2,2.9
gpt2,3.0
gpt2,3.1
granite-7b-base,0.0
granite-7b-base,0.1
granite-7b-base,0.2
granite-7b-base,0.3
granite-7b-base,0.4
gpt2,3.2
granite-7b-base,0.5
granite-7b-base,0.6
granite-7b-base,0.7
granite-7b-base,0.8
TinyLlama_v1.1,0.0
TinyLlama_v1.1,0.1
TinyLlama-1.1B-Chat-v1.0,0.0
TinyLlama-1.1B-Chat-v1.0,0.1
TinyLlama-1.1B-Chat-v1.0,0.2
TinyLlama-1.1B-Chat-v1.0,0.3
TinyLlama-1.1B-Chat-v1.0,0.4
TinyLlama-1.1B-Chat-v1.0,0.5
TinyLlama-1.1B-Chat-v1.0,0.6
TinyLlama-1.1B-Chat-v1.0,0.7
TinyLlama-1.1B-Chat-v1.0,0.8
TinyLlama-1.1B-Chat-v1.0,0.9
TinyLlama-1.1B-Chat-v1.0,1.0
TinyLlama-1.1B-Chat-v1.0,1.1
TinyLlama-1.1B-Chat-v1.0,1.2
TinyLlama-1.1B-Chat-v1.0,1.3
TinyLlama-1.1B-Chat-v1.0,1.4
TinyLlama-1.1B-Chat-v1.0,1.5
TinyLlama-1.1B-Chat-v1.0,1.6
TinyLlama-1.1B-Chat-v1.0,1.7
granite-7b-base,0.9
granite-7b-base,1.0
